,,v1,v2,v3
12,0.43,"מה אתם חושבים,
הממשלה","אתם באמת חושבים
שהממשלה","לדעתכם,
הממשלה"
13,0.71,סתם שלחה אותנו הביתה והתעלמה?,רק שלחה אותנו הביתה ונעלמה?,פשוט שיחררה אותנו הביתה ושכחה מאיתנו?
13,0.18,"פשוט שלחה אותנו הביתה ו
שכחה מאיתנו?","סתם שיחררה אותנו לבית ו
התעלמה מאיתנו?","פשוט עשתה לנו שחרור ו
נטשה אותנו?"
13,0.43,פשוט שלחה אותנו הביתה ושכחה מאיתנו?,סתם שיחררה אותנו לבית ונטשה אותנו?,רק פינתה אותנו לבית והתעלמה מאיתנו?
14,0.71,"נראה כאילו המטוס
מעולם לא ירד מהשמיים.","כמו שהמטוס
לא עזב את השמיים בכלל.","זה כאילו המטוס
לא עזב את השמיים מעולם."
14,0.18,"נראה כאילו המטוס
לא נפרד מהשמיים בכלל.","כאילו המטוס
מעולם לא עזב את השמיים.","זה כאילו המטוס
לא עזב את השמיים מעולם."
14,0.43,"נראה כאילו המטוס
מעולם לא ירד מהשמיים.","כאילו המטוס
לא נעלם מהשמיים בכלל.","זה כאילו המטוס
לא עזב את השמיים מעולם."
15,0.71,אני צריך להגיד בקול רם שזה בלתי אפשרי?,צריך לומר בקול רם שזה בלתי אפשרי?,אני חייב להגיד בקול רם שזה בלתי אפשרי?
15,0.43,אני צריך לצעוק שזה לא יכול להיות?,אני חייב להגיד בקול רם שזה בלתי אפשרי?,חייב לאמר בגלוי שזה לא יתכן?
15,0.18,אני צריך להגיד בקול רם שזה בלתי אפשרי?,אני אמור להגיד בקול רם שזה בלתי אפשרי?,אני חייב להגיד בקול רם שזה בלתי אפשרי?
16,0.71,למה דווקא אני ואתה? מה הופך אותנו לשניים לא פשוטים כל כך מיוחדים?,למה בדיוק אנחנו? מה גורם לשניים כמונו להיות כל כך מיוחדים?,למה דווקא אני ואת? מה הופך אותנו לשני מקרים לא פשוטים כל כך מיוחדים?
16,0.43,למה אנחנו? מה מייחד שני אנשים משוגעים כמונו?,למה דווקא אנחנו? מה הופך שני מטורפים כמונו לכל כך מיוחדים?,למה בדיוק אני ואת? מה גורם לשתי טרולות כמונו להיות כל כך מיוחדות?
16,0.18,למה בדיוק אנחנו? מה מיוחד בשניים כמונו?,למה זה נפל עלינו? מה הופך אותנו לכל כך ייחודיים?,למה דווקא אנחנו? מה הופך שני מקרים כמונו לכל כך מיוחדים?
17,0.71,מה הסיכוי שזה רק אני ואתה?,מה ההסתברות שזה רק אנחנו?,מה הסיכוי שזה רק אני ואת?
17,0.43,מה האופציה שזה רק אני ואת?,מה הסיכוי שזה רק אני ואת?,מה ההסתברות שזה רק אנחנו שתיים?
17,0.18,מה האופציה שזה רק אנחנו?,מה ההסתברות שזה רק אנחנו?,מה הסיכוי שזה רק אנחנו?
18,0.71,♫♫,♬♬,♪♪
18,0.43,♪♪,,
18,0.18,♪♪,,
19,0.71,[ רעשי מסוק וסירנות מתחרחרות ],"[ רעש כנפיים של מסוק, ויילת סירנה ]","[ דהירת מלפפונים, צעקת סירנה ]"
19,0.43,"[ קולות כנפיים של מסוק, צפירה שואגת ]",[ צלילי מסוק וצפירות מכוניות משטרה ],"[ רעשי פרופלרי מסוק, צפירות מתריעות ]"
19,0.18,"[ רעשי כנפיים של מסוק, צפירות מתנשאות ]","[ רעש מסוקים בשמיים, צפירות ברקע ]","[ קולות מסוקים באוויר, צפירות מתריעות ]"
20,0.71,כתבת חדשות על הכבלים: ארבעה ימים בדיוק,כתבת חדשות בכבלים: בדיוק ארבעה ימים,כתבת חדשות בכבלים: רק ארבעה ימים
20,0.43,כתבת חדשות כבלים: רק ארבעה ימים,כתבת חדשות הכבלים: בדיוק ארבעה ימים,כתבת החדשות בכבלים: רק ארבעה ימים
20,0.18,כתבת חדשות כבלים: רק ארבעה ימים,כתבת ערוץ החדשות: רק ארבעה ימים,כתבת חדשות בכבלים: רק ארבעה ימים
21,0.71,"אחרי שחזר להופיע בצורה משתעשעת,","לאחר שהתגלה מחדש באופן מסתורי,","לאחר שהופיע מחדש באופן מבלבל,"
21,0.43,"לאחר הופעתה המבלבלת מחדש,","אחרי שהופיעה מחדש באופן מבלבל,","לאחר שחזרה באופן משתעשע,"
21,0.18,"לאחר שחזרה להופיע באופן בלתי ניתן להסבר,","אחרי הופעתה המסתורית מחדש,","לאחר שהופיעה מחדש באופן מסתורי,"
22,0.71,טיסת מונטגו אייר 828 כבר איננה.,טיסת מונטגו אייר מס' 828 כבר לא בעולם.,טיסת מונטגו אייר 828 כבר לא קיימת.
22,0.43,טיסת מונטגו אייר מספר 828 כבר איננה.,טיסת מונטגו אייר 828 כבר לא קיימת.,מונטגו אייר 828 כבר לא בעסק.
22,0.18,טיסת מונטגו אייר 828 כבר לא עומדת.,טיסת מונטגו אייר 828 איננה קיימת יותר.,טיסת מונטגו אייר 828 כבר לא בעולם.
23,0.71,"כתב חדשות בריטי: למזלנו, אף אחד לא נפצע.","כתב בריטי: לשמחתנו, אף אחד לא נפגע בתקרית.","כתב בריטי: להקלה, אף אחד לא נפגע באירוע."
23,0.43,"כתב בריטי: לשמחתנו, אף אחד לא נפגע במקרה.","כתב חדשות מבריטניה: ברוך השם, אף אחד לא נפצע בתקרית.","כתב חדשות בריטי: למרבה המזל, אף אחד לא נפגע באירוע."
23,0.18,"כתב חדשות בריטי: לשמחתנו, אף אחד לא נפגע במקרה.","כתב חדשות בריטי: למרבה המזל, אף אחד לא נפגע באירוע.","כתב חדשות מאנגליה: ברוך השם, אף אחד לא נפגע בתקרית."
24,0.71,"המטוס, שראשון הדהים את העולם","המטוס, שבהתחלה הדהים את העולם","המטוס, שלראשונה השאיר את העולם בהלם"
24,0.43,"המטוס, שתחילה הדהים את העולם","המטוס, שבהתחלה הפתיע את העולם כולו","המטוס, שלראשונה השאיר את העולם בהלם"
24,0.18,"המטוס, שבתחילה הסתיר את עצמו מעיני העולם","המטוס, שראשון הדהים את העולם","המטוס, שלראשונה הפתיע את העולם"
25,0.71,אחרי שהוא נעלם באפריל 2013...,לאחר שנעלם באפריל 2013...,לאחר שהוא נעלם בחודש אפריל שנת 2013...
25,0.43,אחרי שהוא נעלם באפריל 2013...,לאחר שנעלם באפריל 2013...,לאחר שהפך לנעדר באפריל 2013...
25,0.18,אחרי שהוא נעלם באפריל 2013...,לאחר שנעלם באפריל 2013...,לאחר שהפך לנעדר באפריל 2013...
26,0.71,כתב חדשות: המטוס התפוצץ ממש אחרי חצות,כתבת חדשות: המטוס התפוצץ זמן קצר אחרי חצות,כתב חדשות: המטוס התפוצץ קצת אחרי חצות
26,0.43,כתב רשת: המטוס עף באוויר זמן קצר אחרי חצות,כתב חדשות רשת: המטוס התפוצץ זמן קצר אחרי חצות,כתבת חדשות הרשת: המטוס התפוצץ לאחר חצות
26,0.18,כתבת חדשות הרשת: המטוס עבר התפוצצות זמן קצר לאחר חצות,כתבת חדשות רשת: המטוס התפוצץ זמן קצר אחרי חצות,כתבת בחדשות הרשת: המטוס התפוצץ לאחר חצות
27,0.71,"בדיוק כאן, על המסלול בשדה התעופה סטיוארט.","כאן, על מסלול הנחיתה בשדה התעופה סטיוארט.","פה, על המסלול בשדה התעופה סטיוארט."
27,0.43,"בדיוק כאן, על מסלול הנחיתה של שדה התעופה סטיוארט.","כאן, על מסלול הנחיתה בשדה התעופה סטיוארט.","פה, על המסלול בשדה התעופה סטיוארט."
27,0.18,"בדיוק כאן, על המסלול בשדה התעופה סטיוארט.","כאן, על מסלול הנחיתה בשדה התעופה סטיוארט.","פה, על המסלול בשדה התעופה סטיוארט."
28,0.71,הגורם לא מוכר.,הסיבה לא ידועה.,הסיבה נותרה חידה.
28,0.43,הגורם לא מוכר.,הסיבה לא ידועה.,הסיבה נותרה חידה.
28,0.18,המקור לא ידוע.,הגורם לא ידוע.,הסיבה לא ידועה.
29,0.71,מקורות קרובים לחקירה,מקורות שקרובים לתיק החקירה,מקורות המשויכים לחקירה
29,0.43,מקורות קרובים לחקירה,מקורות שקרובים לתיק החקירה,מקורות המשותפים לחקירה
29,0.18,מקורות הקרובים לחקירה,מקורות בסביבת החקירה,מקורות שקרובים לחקירה
30,0.43,אמרו קבוצה של נוסעי המטוס,אמרתי קבוצה של נוסעי המטוס,אומרת קבוצה של נוסעי המטוס
30,0.71,אמרו קבוצה של נוסעי המטוס,אומרת קבוצה של נוסעי המטוס,אמרה קבוצה של נוסעי המטוס
30,0.18,אומרים קבוצה של נוסעי המטוס,קבוצת נוסעים מהמטוס נאמרה,אמרו שקבוצה מהנוסעים
31,0.43,נצפו במצלמות האבטחה.,זוהו במצלמות האבטחה.,התגלו במצלמות האבטחה.
31,0.71,רואים אותם במצלמת האבטחה.,הם נראו במצלמת האבטחה.,נצפו במצלמת האבטחה.
31,0.18,רואים אותם במצלמת המעקב.,התקלטו על מצלמת האבטחה.,נצפו במצלמת האבטחה.
32,0.43,יש עוד נקודות חמות. אתה רואה אותם?,יש עוד נקודות חמות. רואה אותם?,ישנן עוד נקודות חמות. אתה רואה אותם?
32,0.71,יש עוד נקודות חמות. אתה רואה אותם?,יש עוד נקודות לוהטות. רואים אותם?,יש עוד מקומות חמים. את רואה אותם?
32,0.18,ישנן נקודות חמות נוספות. רואה אותן?,יש עוד נקודות חמות. אתה רואה אותם?,יש עוד מקומות חמים. תוכל לראות אותם?
33,0.43,"כן, סר. נטפל בזה.","כן, נטפל בזה מיד.","כן, אדוני. נטפל בזה."
33,0.71,"כן, נדאג לזה.","כן, אדוני. לכבות אותם.","בטח, אדוני. נכבה אותם."
33,0.18,"כן, גברתי. נטפל בכך.","כן, סר. אנחנו על זה.","כן, אדוני. נטפל בזה."
34,0.43,♪♪,,
34,0.71,♫♫,,
34,0.18,♪♪,,
35,0.43,אתה לא מבין. הבן שלי בכלא.,אתם לא מבינים. הבן שלי בכלא.,את לא מבינה. הבן שלי בכלא.
35,0.71,אין הבנה. הבן שלי כלוא.,אתה לא מבין. הבן שלי בכלא.,אתם לא מבינים. הבן שלי נמצא בכלא.
35,0.18,את לא מבינה. הבן שלי נמצא בכלא.,אתה לא מבין. הבן שלי בכלא.,אתם לא מבינים. הבן שלי נעצר.
36,0.43,אני מחפשת אותו כבר שלושה ימים.,אנחנו מנסים למצוא אותו כבר שלושה ימים.,אני מנסה למצוא אותו כבר שלושה ימים.
36,0.71,אני בחיפושים אחריו כבר שלושה ימים.,שלושה ימים אני מחפש אותו.,אני מנסה למצוא אותו כבר שלושה ימים.
36,0.18,אני במצוקה למצוא אותו כבר שלושה ימים.,אני מנסה למצוא אותו כבר שלושה ימים.,כבר שלושה ימים אני בחיפושים אחריו.
37,0.43,"הם אומרים שאני צריך להתקשר אליו עכשיו, הדקה הזאת.","הם אומרים שאני צריכה להתקשר אליו עכשיו, הדקה הזאת.","הם אומרים שצריך להתקשר אליו עכשיו, בדיוק הזמן הזה."
37,0.71,"הם אומרים שאני צריך להתקשר אליו עכשיו, הרגע הזה.","הם אמרו שאני צריך לצלצל לו עכשיו, בדיוק ברגע הזה.",נאמר לי שאני צריך להתקשר אליו בדיוק עכשיו.
37,0.18,"הם אומרים שאני חייב להתקשר אליו עכשיו, הדקה הזו.","אמרו לי שאני צריך להתקשר אליו עכשיו, מיד.",הם טוענים שעלי להתקשר אליו בדיוק עכשיו.
38,0.43,הוא אפילו לא יודע שאני חי.,הוא אפילו לא יודע שאני בחיים.,הוא בכלל לא יודע שאני כאן.
38,0.71,הוא בכלל לא יודע שאני חי.,הוא אפילו לא יודע שאני בחיים.,הוא ממש לא יודע שאני קיים.
38,0.18,"הוא ממש לא יודע שאני כאן, חי.",הוא בכלל לא יודע שאני עדיין חי.,הוא אפילו לא יודע שאני בחיים.
39,0.43,פאוול: 17.,פאוול: שבעה עשר.,
39,0.71,פאוול: 17.,פאוול: שבעה עשר.,
39,0.18,פאוול: 17.,פאוול: שבעה עשר.,
40,0.43,מה סיפרת לו?,מה שאלת אותו?,מה אמרת לו?
40,0.71,מה סיפרת לו?,מה אמרת לו בדיוק?,מה אמרת לו?
40,0.18,מה סיפרת לו?,מה דיברת איתו?,מה אמרת לו?
41,0.43,שאנחנו לא יודעים כלום.,שאני לא יודעת כלום.,שאני לא יודע כלום.
41,0.71,שאין לי מושג.,שאני לא יודעת כלום.,שאני בחושך מוחלט.
41,0.18,שאני לא מודעת לשום דבר.,שאני באמת לא יודעת כלום.,שאני לא יודעת דבר.
42,0.43,"טוב, את לא יודעת.","טוב, אתה לא יודע.",טוב שאתה לא יודע.
42,0.71,טוב. אתה באמת לא יודע.,בדיוק. אתה לא בקטע.,נכון. אין לך מושג.
42,0.18,טוב. אתה באמת לא יודע.,נכון. אתה לא יודע כלום.,זה נכון. אין לך מושג.
43,0.43,אנו שואפים להישאר מחוץ למסך הרדאר שלהם.,המטרה שלנו להישאר מתחת לרדאר.,אנחנו רוצים להישאר רחוק מהרדאר שלהם.
43,0.71,המטרה שלנו להישאר מתחת לרדאר.,אנחנו מעדיפים להישאר מחוץ למסך הרדאר שלהם.,אנחנו רוצים להישאר רחוק מהרדאר שלהם.
43,0.18,המטרה שלנו היא להישאר רחוק מהרדאר שלהם.,אנחנו רוצים להישאר מתחת לרדאר שלהם.,אנו מעוניינים להישאר מחוץ למסך הרדאר שלהם.
44,0.43,"אבל הרי אתה רואה דברים,","אבל איך אתה לא רואה דברים,",אבל אתה לא רואה דברים?
44,0.71,"אבל האם אתה לא רואה דברים,",אבל איך אתה לא רואה דברים?,אבל אתה בטוח שלא רואה דברים?
44,0.18,"אבל הרי אתה רואה דברים,","אבל אתה בטוח רואה דברים,","אך אתה כן רואה דברים,"
45,0.43,שומעת דברים בראש שלך?,שומעים דברים בראש?,שומע דברים בראש שלך?
45,0.71,שומעת דברים בראש שלך?,שומע דברים בראש שלך?,יש לך דברים שאתה שומע בראש?
45,0.18,שומע דברים בראש?,שומעים דברים בראש?,שומעת דברים בראש?
46,0.43,הם חושבים שזה באשמתי. תמיד אומרים שזה באשמת הטייס.,הן חושבות שזה באשמתי. תמיד אומרות שזה באשמת הטייס.,חושבים שזה באשמתי. תמיד מאשימים את הטייס.
46,0.71,הם חושבים שזה באשמתי. תמיד אומרים שזה באשמת הטייס.,הם חושבות שזה באשמתי. תמיד אומרות שזה באשמת הטייס.,הם סבורים שאני אשם. תמיד מאשימים את הטייס.
46,0.18,הן חושבות שזה באשמתי. תמיד מאשימות את הטייס.,חושבים שזה באשמתי. תמיד מאשימים את הטייס.,הם חושבים שזה באשמתי. תמיד אשמים את הטייס.
47,0.43,"תראו, חבר'ה. אני לא יודע איך אחרת להגיד את זה.","תסתכלי, חברה. אני לא יודע איך אחרת להגיד את זה.","תסתכל, חבר. אני לא יודע איך אחרת להגיד את זה."
47,0.71,"תראה, חבר. אני לא יודע איך אחרת להגיד את זה.","תראו, אני לא יודע איך עוד אפשר להסביר את זה.","תראי, חברה. אני לא יודע איך אחרת להגיד את זה."
47,0.18,"תסתכלו, חבר'ה. אנחנו לא יודעים איך אחרת להגיד את זה.","תסתכל, חבר. אני לא יודע איך אחרת להגיד את זה.","תסתכלי, חברה. אני לא יודעת איך אחרת להגיד את זה."
48,0.43,"הרגשתי צורך לראות את המטוס, הופיעתי שם, ואז פוף.","הייתה לי דחף לראות את המטוס, הגעתי, ואז פוף.",
48,0.71,"הייתה לי דחפה לראות את המטוס, הגעתי, ואז - פיצוץ.","נכנס לי הרצון לראות את המטוס, הגעתי ופתאום - בום.","הייתה לי דחף לראות את המטוס, הגעתי, ואז - פיצוץ."
48,0.18,"הייתה לנו דחף לראות את המטוס, הגענו, ופאו.","הייתה לי דחף לראות את המטוס, הגעתי, ופאו.","הייתה לי דחפה לראות את המטוס, הגעתי, ופאו."
49,0.43,איך בדיוק 20 אנשים חוו את אותו... דחף?,איך יכול להיות ש-20 אנשים הרגישו אותו דחף?,
49,0.71,איך בדיוק 20 אנשים הרגישו את אותו... דחף?,איך קרה ש-20 אנשים חוו את אותו הדחף?,איך בדיוק 20 אנשים הרגישו אותה... דחפה?
49,0.18,איך בדיוק 20 אנשים חוו את אותו... תחושה?,איך בדיוק 20 אנשים חוו את אותו... דחף?,איך בדיוק 20 אנשים חוו את אותה... דחפה?
50,0.43,אני מוכר ציוד ספורט. למה אתה שואל אותי?,אני מוכרת ציוד ספורט. למה את שואלת אותי?,אני מוכר ציוד ספורט. למה שואלים אותי?
50,0.71,אני מוכר ציוד ספורט. למה אתה שואל אותי?,אני מוכרת ציוד ספורט. למה את שואלת אותי?,"אני עוסק במכירת ציוד ספורט, למה זה מעניין אותך?"
50,0.18,אני מוכר ציוד ספורט. למה אתה שואל אותי?,אני מוכרת ציוד ספורט. למה את שואלת אותי?,אני מוכר ציוד ספורט. למה אתם שואלים אותי?
51,0.43,היי. אני סאנווי בהל. אתם משפחתו של כל? בן סטון.,היי. אני סאנווי בהל. אתם משפחת כל? אני בן סטון.,היי. אני סאנווי בהל. את משפחתו של כל? בן סטון.
51,0.71,היי. אני סאנווי בהל. אתם משפחתו של כל? בן סטון.,"שלום, אני סאנווי בהל. אתם משפחת כל? אני בן סטון.","היי, אני סאנווי בהל. אתם שייכים לכל? אני בן סטון."
51,0.18,היי. אני סאנווי בהל. אתם משפחתו של כל? בן סטון.,היי. אני סאנווי בהל. את משפחתו של כל? בן סטון.,
52,0.43,"זאת אחותי, מיכאלה. איך הכרת את כל?","זו אחותי, מיכאלה. איך אתה מכיר את כל?","זו אחותי, מיכאלה. איך את מכירה את כל?"
52,0.71,"זאת אחותי, מיכאלה. איך אתם מכירים את כל?","זו אחותי, מיכאלה. איך אתה מכיר את כל?","זו אחותי, מיכאלה. איך את מכירה את כל?"
52,0.18,"זו אחותי, מיכאלה. איך אתה מכיר את כל?","זו אחותי, מיכאלה. איך אתם מכירים את כל?","זו אחותי, מיכאלה. איך את מכירה את כל?"
53,0.43,אני מתמחה במחקר סרטן.,אני רופאה. אני עוסקת במחקר על סרטן.,אני רופא. אני עוסק במחקר על סרטן.
53,0.71,אני מתעסקת במחקרים בתחום הסרטן.,אני רופא. אני עוסק במחקרי סרטן.,אני רופאה. אני עוסקת במחקרי סרטן.
53,0.18,אני רופאה. אני עוסקת במחקר סרטן.,אני רופא. אני עוסק במחקר סרטן.,אני עוסק/ת במחקר סרטן.
54,0.43,הטיפול החדש של כל מבוסס על המחקר שלי,הטיפול החדש של כל הגיע מהעבודה שעשיתי,
54,0.71,טיפול החדש של כל הגיע מעבודה שעשיתי,הטיפול החדש לכל נולד מהמחקר שלי,הטיפול החדש של כל מבוסס על המחקר שלי
54,0.18,הטיפול החדש של כל הגיע מהמחקר שלי,הטיפול החדש של כל הגיע מהעבודה שעשיתי,
55,0.43,לפני שהמטוס נעלם.,טרם נעלמה הטיסה.,
55,0.71,לפני שהמטוס התעלם מהרדארים.,לפני ההיעלמות של המטוס.,לפני שהמטוס נעלם.
55,0.18,לפני שהמטוס נעלם.,טרם היעלמות המטוס.,
56,0.43,את היית בטיסה?,אתה היית בטיסה?,היית בטיסה הזו?
56,0.71,את היית בטיסה?,אתה היית במטוס?,היית בטיסה?
56,0.18,את היית בטיסה?,אתה היית בטיסה?,הייתם בטיסה?
57,0.43,"זה מקרה מעניין, נכון?",אני יודעת. זה מקרה מעניין --,אני יודע. זה מקרה מעניין --
57,0.71,אני יודע. זו מקריות מוזרה --,"אני מבין, זה נראה מוזר --",אני יודעת. זו מקריות מוזרה --
57,0.18,אני יודע. זו מקריות מוזרה --,אנחנו יודעים. זו מקריות מוזרה --,אני יודעת. זו מקריות מוזרה --
58,0.43,אם אפשר בכלל לדבר על מקריות.,אם בכלל יש מקום למקריות כאן.,
58,0.71,אם בכלל יש כאן מקום לדבר על מקריות.,אם כל זה בכלל יכול להיחשב למקריות.,אם בכלל אפשר לקרוא לזה מקריות.
58,0.18,אם בכלל יש מקום למקריות כאן.,אם בכלל אפשר לקרוא לזה מקריות.,
59,0.43,פאוול: שמונה עשרה.,פאוול: י,פאוול: 18.
59,0.71,פאוול: שמונה עשרה.,פאוול: 18.,
59,0.18,פאוול: שמונה עשרה.,פאוול: 18.,
60,0.18,"גברתי, מה הסיטואציה שלנו כאן?
אנחנו נעצרנו?","סר, מה המצב שלנו פה?
אנחנו תחת מעצר?","אדוני, איזה סטטוס יש לנו כאן?
האם אנחנו מוחזקים תחת מעצר?"
60,0.71,"אדוני, מה הסיטואציה כאן?
אנחנו נעצרנו?","אדוני, מה המצב שלנו פה?
אנחנו תחת מעצר?","גבירתי, איזה מעמד יש לנו כאן?
האם אנחנו עצורים?"
60,0.43,"סר, מה המצב שלנו פה?
האם אנחנו תחת מעצר?","אדוני, איזה סטטוס יש לנו כאן?
אנחנו עצורים?","גברתי, מהו המצב שלנו כאן?
האם אנו נעצרנו?"
61,0.18,"לא,
אתם רק בהחזקה זמנית.","לא,
אתם פשוט נעצרתם לחקירה.","לא,
אתם רק מוחזקים."
61,0.71,"לא,
אתם רק בהחזקה זמנית.","לא,
אתם רק נעצרים לחקירה.","לא,
אתן רק נעצרתן לחקירה."
61,0.43,"לא,
אתם רק מוחזקים.","לא,
אתם רק בהחזקה.","לא,
אתן רק מוחזקות."
62,0.18,"למעשה, אנחנו לא.","באמת, אנחנו לא במעצר.","בפועל, אנחנו לא נעצרנו."
62,0.71,"למעשה, אנחנו לא.","בעצם, אנחנו לא נעצרנו.","אבל בפועל, אנחנו לא."
62,0.43,"למעשה, אנחנו לא.","בפועל, אנחנו לא.",האמת היא שלא.
63,0.18,"אני מהמשטרה.
אני מבינה את התהליך.","אני במשטרת ניו יורק.
אני יודעת איך זה עובד.","אני ב-NYPD.
אני מכירה את הפרוצדורה."
63,0.71,"אני במשטרת ניו יורק.
אני מבינה את התהליך.","אני שוטרת.
אני יודעת את הנהלים.","אני מה-NYPD.
אני יודעת איך זה עובד."
63,0.43,"אני מהמשטרה.
אני מבינה את התהליך.","אני ב-NYPD.
אני יודעת את המנגנון.","אני במשטרת ניו יורק.
אני יודעת איך זה עובד."
64,0.18,"סיפרנו לכם
הכל שיש לנו לדעת,","הסברנו לכם
את כל מה שאנחנו יודעים,","מסרנו לכם
את כל המידע שבידינו,"
64,0.71,"סיפרנו לכם
את כל מה שאנחנו יודעות,","סיפרנו לכם
הכל שיש לנו לדעת,","הכל שיש לנו, סיפרנו לכם,"
64,0.43,"שיתפנו אתכם
בכל מה שידוע לנו,","סיפרנו לכם
הכל שיש לנו לדעת,","העברנו לכם
את כל המידע שבידינו,"
